row,Bloc,Variety,Yield
1,1,A,52.00
2,1,A,52.80
3,1,A,53.10
4,1,B,62.1
5,1,B,62.6
6,1,B,64.00
7,1,C,67.5
8,1,C,67.2
9,1,C,66.9
10,2,A,51.80
11,2,A,52.8
12,2,A,53.1
13,2,B,59.7
14,2,B,60.00
15,2,B,59.00
16,2,C,61.5
17,2,C,61.7
18,2,C,62.3
19,3,A,60.00
20,3,A,60.2
21,3,A,58.4
22,3,B,68.6
23,3,B,65.8
24,3,B,69.7
25,3,C,70.8
26,3,C,70.6
27,3,C,71.00
28,4,A,51.1
29,4,A,52.3
30,4,A,50.3
31,4,B,63.2
32,4,B,62.8
33,4,B,62.2
34,4,C,64.1
35,4,C,66.2
36,4,C,64.00
37,5,A,50.9
38,5,A,51.8
39,5,A,51.4
40,5,B,64.8
41,5,B,65.00
42,5,B,65.4
43,5,C,72.1
44,5,C,72.00
45,5,C,71.1
46,6,A,46.4
47,6,A,44.8
48,6,A,49.2
49,6,B,43.7
50,6,B,44.2
51,6,B,43.00
52,6,C,62.00
53,6,C,61.4
54,6,C,60.5
